"First column name","Second column name","Correlation value","p value","Degrees of freedom"
"release_year","popularity",0.10851395137975597,0,100498
"release_year","duration_ms",-0.006242846775312319,0.047806391246870576,100498
"release_year","danceability",0.0009207575885161385,0.7737420025144055,97485
"release_year","energy",0.0007922335905748289,0.8046323339591801,97486
"release_year","loudness",0.0014533243598962979,0.6500033252777047,97482
"release_year","speechiness",-0.00038975928015335065,0.9031464076838835,97477
"release_year","acousticness",-0.00028322097262421954,0.9295334341690826,97492
"release_year","instrumentalness",-0.0006137352140278921,0.8480424886023341,97478
"release_year","liveness",0.002718035171413468,0.39607904475191047,97486
"release_year","valence",0.001834535111050351,0.5667860172850134,97486
"release_year","tempo",-0.00011899363356202205,0.9703651505988159,97472
"release_year","key",0.0006543442937746207,0.8356694200839039,100498
"release_year","mode",0.0004339461557616206,0.8905828308490207,100498
"release_year","time_signature",0.006713027286728854,0.03332517721103234,100498
"popularity","duration_ms",-0.0022558012872868,0.4745347974089563,100498
"popularity","danceability",0.13519060858012377,0,97485
"popularity","energy",0.07700442021310505,0,97486
"popularity","loudness",0.060864840371210586,0,97482
"popularity","speechiness",0.09141381736525343,0,97477
"popularity","acousticness",-0.11877020030811523,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003739158093736364,97492
"popularity","instrumentalness",-0.0987521309675737,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009514566145186247,97478
"popularity","liveness",0.0006893624595629515,0.8295822503834591,97486
"popularity","valence",0.05586159371467969,0,97486
"popularity","tempo",-0.018197023568969083,0.000000013339467961294024,97472
"popularity","key",0.0009020711073164827,0.7749021000695584,100498
"popularity","mode",0.0032810210835218746,0.298279289057912,100498
"popularity","time_signature",0.0019217601317757808,0.542375783081732,100498
"duration_ms","danceability",-0.0025814716391903973,0.4202419672115687,97485
"duration_ms","energy",-0.0021289852281980064,0.5062252850864445,97486
"duration_ms","loudness",0.0017085447811840293,0.5937271586905788,97482
"duration_ms","speechiness",-0.005058826285597396,0.11423568869880152,97477
"duration_ms","acousticness",0.0018286828323878714,0.5680121032278276,97492
"duration_ms","instrumentalness",0.0014674218434493798,0.6468448960649793,97478
"duration_ms","liveness",-0.0012088997493344257,0.7058385512671073,97486
"duration_ms","valence",-0.0032584032821278606,0.3089807096887648,97486
"duration_ms","tempo",0.0027889501879031133,0.3839049675862267,97472
"duration_ms","key",0.0016463172848089362,0.6017364736830717,100498
"duration_ms","mode",-0.0004875159398483836,0.877176801522717,100498
"duration_ms","time_signature",-0.000980625887532275,0.7558982140991685,100498
"danceability","energy",0.27321281813568365,0,94554
"danceability","loudness",0.22555204439942994,0,94559
"danceability","speechiness",0.315707141238954,0,94555
"danceability","acousticness",-0.41849117048002826,0,94568
"danceability","instrumentalness",-0.4416288361242952,0,94558
"danceability","liveness",-0.0012584529442874037,0.6987459751743634,94576
"danceability","valence",0.297040156757851,0,94572
"danceability","tempo",-0.09983507716875885,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005450451300727142,94557
"danceability","key",-0.0015957410323522215,0.618321455417449,97485
"danceability","mode",0.004707143351776707,0.14164401271405858,97485
"danceability","time_signature",0.0015241716084350603,0.6341563965112853,97485
"energy","loudness",0.38734420030722244,0,94556
"energy","speechiness",0.07708370448613229,0,94551
"energy","acousticness",-0.6508210416875523,0,94561
"energy","instrumentalness",-0.5059760791461354,0,94552
"energy","liveness",0.004192162005832331,0.19730744399252842,94581
"energy","valence",0.042867905946764706,0,94567
"energy","tempo",0.31261011495040336,0,94546
"energy","key",-0.002352902746863317,0.46255875156860093,97486
"energy","mode",-0.003833043097769549,0.23139125582916287,97486
"energy","time_signature",0.0008067139204249867,0.801135635107673,97486
"loudness","speechiness",0.10613676478867068,0,94550
"loudness","acousticness",-0.4153323457456899,0,94560
"loudness","instrumentalness",-0.3870662209638074,0,94551
"loudness","liveness",0.005763487556709094,0.07631542544115932,94577
"loudness","valence",0.06446250513332911,0,94555
"loudness","tempo",0.14559559017243323,0,94539
"loudness","key",-0.0013566003053052404,0.6718879613264727,97482
"loudness","mode",0.003305731314278171,0.3020162995916311,97482
"loudness","time_signature",0.0022730524066536086,0.4778939361557799,97482
"speechiness","acousticness",-0.2555300189897184,0,94578
"speechiness","instrumentalness",-0.22747991412803548,0,94542
"speechiness","liveness",-0.004329025282623388,0.18313334579926677,94555
"speechiness","valence",-0.00618321347485954,0.057269506206190035,94546
"speechiness","tempo",-0.22048283617496592,0,94542
"speechiness","key",0.0012105853839792938,0.7054604975282535,97477
"speechiness","mode",0.006544308038650063,0.04102916776795151,97477
"speechiness","time_signature",0.006015343044705458,0.06037010131738074,97477
"acousticness","instrumentalness",0.5537489518799286,0,94562
"acousticness","liveness",-0.0003497458350130476,0.9143478311903178,94573
"acousticness","valence",-0.0476355581325074,0.0000000000000000000000000000000000000000000000012060986808318827,94573
"acousticness","tempo",-0.17881542925718258,0,94544
"acousticness","key",0.0019531851375772656,0.5419572941926039,97492
"acousticness","mode",-0.002651608219006687,0.4077102771660345,97492
"acousticness","time_signature",0.00021213632409043226,0.9471894109282768,97492
"instrumentalness","liveness",-0.0000030584723973300944,0.9992495992818811,94559
"instrumentalness","valence",-0.22896449945776234,0,94567
"instrumentalness","tempo",-0.04153374938870614,0.00000000000000000000000000000000000022091858072157355,94552
"instrumentalness","key",0.0037549153155687644,0.2410602688611212,97478
"instrumentalness","mode",0.0011457482139905632,0.7205539120423858,97478
"instrumentalness","time_signature",0.0007710984997323441,0.8097506809088162,97478
"liveness","valence",0.006580288497433879,0.04302871092838756,94554
"liveness","tempo",0.0017944891616536159,0.5810848698541711,94555
"liveness","key",0.001950881887156416,0.542446257083935,97486
"liveness","mode",-0.0035930911911173035,0.26192088332475993,97486
"liveness","time_signature",0.00015257678893590616,0.9620043127373412,97486
"valence","tempo",-0.09215634810300982,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002035866677705354,94565
"valence","key",-0.0009954984781551238,0.7559365048145346,97486
"valence","mode",0.00006484016559638737,0.9838480663092128,97486
"valence","time_signature",0.005134559431798606,0.10889999327339384,97486
"tempo","key",-0.004142361247518627,0.1959182541571045,97472
"tempo","mode",0.002202905326970813,0.491605653662313,97472
"tempo","time_signature",-0.0042940508858099,0.180041534722861,97472
"key","mode",-0.00243294478432498,0.44054261069776046,100498
"key","time_signature",0.0004121392161699689,0.8960492899972519,100498
"mode","time_signature",0.0035406810329277343,0.2616724838657025,100498
