"row ID","rock","latin","country","gospel","hip-hop","blues","classical","ambient","punk","k-pop","folk","metal","indie","pop","reggae","electronic","r&b","jazz","drum-and-bass","soul"
"rock",1683,10,12,8,3,1,0,0,73,67,0,201,75,212,1,54,29,0,1,9
"latin",0,222,2,10,9,0,0,0,0,81,0,0,1,110,24,9,44,0,0,7
"country",14,13,706,149,0,68,0,0,0,3,14,0,138,56,38,1,31,5,0,96
"gospel",0,8,38,78,0,1,0,0,0,2,0,0,5,6,24,0,3,0,0,16
"hip-hop",0,14,0,3,2229,0,0,0,0,17,0,0,1,26,1,6,61,0,0,1
"blues",0,0,47,1,0,155,0,0,0,0,31,0,39,0,9,0,2,2,0,13
"classical",0,0,0,0,0,0,866,20,0,0,2,0,0,0,0,0,0,3,0,0
"ambient",0,0,0,0,0,0,24,518,0,0,0,0,0,0,0,0,0,4,0,0
"punk",36,0,0,0,1,0,0,0,215,2,0,52,1,1,0,1,1,0,4,0
"k-pop",17,60,1,1,5,0,0,0,3,163,0,0,0,136,0,18,5,0,0,0
"folk",0,0,17,0,0,51,9,2,0,0,670,0,5,0,0,0,1,16,0,1
"metal",101,0,0,0,0,0,0,0,78,1,0,659,1,0,0,1,0,0,4,0
"indie",30,2,102,7,0,36,0,1,0,0,9,1,328,31,6,1,26,3,0,34
"pop",246,305,73,30,42,2,0,0,1,502,0,0,61,1814,49,71,383,0,1,69
"reggae",0,22,18,34,3,5,0,0,0,1,0,0,2,16,224,0,63,0,0,86
"electronic",53,15,3,0,2,0,0,0,2,48,0,11,8,63,5,1261,11,0,54,0
"r&b",8,70,24,24,64,6,0,0,0,22,1,0,33,216,106,4,556,0,0,140
"jazz",0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,1,0,893,0,0
"drum-and-bass",1,0,0,0,0,0,0,0,3,2,0,2,0,0,0,22,0,0,309,0
"soul",0,5,43,17,0,17,0,0,0,1,0,0,20,9,56,0,53,0,0,83
