"row ID","metal","rock","k-pop","latin","electronic","soul","classical","jazz","country","folk","pop","punk","r&b","gospel","hip-hop","ambient","blues","drum-and-bass","indie","reggae"
"metal",1000,326,0,0,10,0,0,0,0,0,3,38,2,0,2,0,0,4,5,0
"rock",150,2628,2,0,84,0,0,0,18,0,306,36,11,2,6,0,0,1,37,3
"k-pop",0,119,52,101,83,0,0,0,6,0,921,5,28,4,41,0,0,1,5,1
"latin",0,17,14,337,25,4,0,0,22,0,508,2,100,9,26,0,0,0,2,54
"electronic",7,104,12,8,1861,1,0,1,1,0,118,1,11,0,5,0,0,32,10,4
"soul",0,11,0,4,1,55,0,0,146,0,134,1,247,20,3,0,22,0,63,125
"classical",0,0,0,0,0,0,1278,4,0,28,0,0,0,0,0,39,1,0,1,0
"jazz",0,0,0,0,1,0,7,1328,8,25,0,0,0,0,0,10,7,0,4,0
"country",0,25,0,3,2,25,0,0,1145,24,134,1,33,37,0,0,48,0,130,24
"folk",0,3,0,0,0,1,0,4,16,1008,4,0,3,1,0,0,28,0,22,0
"pop",0,349,19,122,135,8,0,0,83,0,2902,11,285,18,48,0,0,0,32,33
"punk",120,144,0,0,1,0,0,0,0,0,3,285,0,0,4,0,0,3,2,0
"r&b",0,33,0,68,30,24,0,0,43,0,653,5,806,13,113,0,0,1,46,68
"gospel",0,9,0,14,0,13,0,0,214,1,69,0,21,113,4,0,4,0,17,63
"hip-hop",0,4,0,13,11,0,0,0,0,0,68,4,82,0,3349,0,0,0,2,3
"ambient",0,0,0,0,0,0,27,12,0,21,0,0,0,0,0,747,9,0,1,0
"blues",0,4,0,0,0,16,0,1,111,86,11,0,9,3,1,0,188,0,71,11
"drum-and-bass",9,9,3,0,97,0,0,0,0,0,0,10,0,0,0,0,0,431,0,0
"indie",0,137,0,0,7,10,0,3,228,11,117,1,40,6,1,0,44,0,471,1
"reggae",0,0,0,45,2,39,0,0,60,0,86,2,214,26,8,0,7,0,9,318
