"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
"rock",1693,496,17045,766,0.6884912566083774,0.7734125171311101,0.6884912566083774,0.9717233909127188,0.728485370051635,,
"latin",196,550,19001,253,0.4365256124721604,0.26273458445040215,0.4365256124721604,0.971868446626771,0.3280334728033473,,
"country",727,360,18253,660,0.5241528478731075,0.6688132474701012,0.5241528478731075,0.9806586794176113,0.587712206952304,,
"gospel",59,303,19549,89,0.39864864864864863,0.16298342541436464,0.39864864864864863,0.984737054201088,0.23137254901960783,,
"hip-hop",2232,126,17518,124,0.9473684210526315,0.9465648854961832,0.9473684210526315,0.9928587621854454,0.9469664828171404,,
"classical",866,35,19077,22,0.9752252252252253,0.9611542730299667,0.9752252252252253,0.99816868982838,0.9681386249301287,,
"ambient",518,27,19426,29,0.946983546617916,0.9504587155963303,0.946983546617916,0.998612039274148,0.9487179487179488,,
"blues",152,190,19523,135,0.5296167247386759,0.4444444444444444,0.5296167247386759,0.9903616902551615,0.4833068362480127,,
"punk",205,170,19535,90,0.6949152542372882,0.5466666666666666,0.6949152542372882,0.9913727480334941,0.6119402985074626,,
"k-pop",129,783,18926,162,0.44329896907216493,0.14144736842105263,0.44329896907216493,0.9602719569739713,0.2144638403990025,,
"folk",677,50,19168,105,0.8657289002557544,0.9312242090784044,0.8657289002557544,0.9973982724529087,0.8972829688535454,,
"pop",1922,774,15275,2029,0.4864591242723361,0.7129080118694362,0.4864591242723361,0.9517726961181382,0.5783060027079885,,
"reggae",209,334,19222,235,0.47072072072072074,0.3848987108655617,0.47072072072072074,0.9829208427081203,0.4235055724417427,,
"electronic",1259,191,18262,288,0.8138332255979315,0.8682758620689656,0.8138332255979315,0.9896493795046876,0.8401735068401736,,
"r&b",536,733,18073,658,0.4489112227805695,0.4223798266351458,0.4489112227805695,0.9610230777411465,0.4352415753146569,,
"indie",317,401,19018,264,0.5456110154905336,0.4415041782729805,0.5456110154905336,0.9793501210155002,0.4880677444187837,,
"jazz",893,33,19063,11,0.9878318584070797,0.9643628509719222,0.9878318584070797,0.9982718894009217,0.9759562841530055,,
"soul",94,461,19215,230,0.29012345679012347,0.16936936936936936,0.29012345679012347,0.9765704411465745,0.21387940841865755,,
"drum-and-bass",308,65,19598,29,0.913946587537092,0.8257372654155496,0.913946587537092,0.9966942989370899,0.8676056338028169,,
"metal",647,279,18892,182,0.7804583835946924,0.6987041036717062,0.7804583835946924,0.9854467685566741,0.7373219373219373,,
"Overall",,,,,,,,,,0.68195,0.6543366420333929
