"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
"metal",672,237,18837,254,0.7257019438444925,0.7392739273927392,0.7257019438444925,0.9875747090279963,0.7324250681198909,,
"rock",1722,807,17004,467,0.7866605756052992,0.6809015421115066,0.7866605756052992,0.9546909213407445,0.7299703264094956,,
"k-pop",115,128,18960,797,0.12609649122807018,0.4732510288065844,0.12609649122807018,0.9932942162615256,0.19913419913419914,,
"latin",248,299,18955,498,0.3324396782841823,0.453382084095064,0.3324396782841823,0.9844707593227381,0.38360402165506574,,
"electronic",1243,315,18235,207,0.8572413793103448,0.7978177150192555,0.8572413793103448,0.9830188679245283,0.8264627659574469,,
"soul",61,126,19319,494,0.10990990990990991,0.32620320855614976,0.10990990990990991,0.9935201851375675,0.16442048517520216,,
"classical",831,15,19084,70,0.9223085460599334,0.9822695035460993,0.9223085460599334,0.9992146185664171,0.951345163136806,,
"jazz",883,9,19065,43,0.9535637149028078,0.9899103139013453,0.9535637149028078,0.9995281535073922,0.9713971397139715,,
"country",748,636,18277,339,0.6881324747010119,0.5404624277456648,0.6881324747010119,0.9663723364881298,0.6054229057061918,,
"folk",665,132,19141,62,0.9147180192572214,0.8343789209535759,0.9147180192572214,0.9931510403154672,0.8727034120734908,,
"pop",1926,1941,15363,770,0.7143916913946587,0.49806051202482543,0.7143916913946587,0.8878294036061026,0.5869267103458784,,
"punk",162,87,19538,213,0.432,0.6506024096385542,0.432,0.9955668789808917,0.5192307692307692,,
"r&b",540,686,18045,729,0.425531914893617,0.44045676998368677,0.425531914893617,0.9633762212375206,0.43286573146292584,,
"gospel",51,92,19546,311,0.1408839779005525,0.35664335664335667,0.1408839779005525,0.9953152052143803,0.20198019801980197,,
"hip-hop",2225,153,17489,133,0.943596268023749,0.9356602186711522,0.943596268023749,0.9913275138873143,0.9396114864864865,,
"ambient",508,51,19404,37,0.9321100917431193,0.9087656529516994,0.9321100917431193,0.997378565921357,0.9202898550724639,,
"blues",126,110,19548,216,0.3684210526315789,0.5338983050847458,0.3684210526315789,0.9944043137653882,0.4359861591695502,,
"drum-and-bass",275,30,19597,98,0.7372654155495979,0.9016393442622951,0.7372654155495979,0.998471493350996,0.8112094395280235,,
"indie",333,291,18991,385,0.4637883008356546,0.5336538461538461,0.4637883008356546,0.9849082045430972,0.49627421758569296,,
"reggae",221,300,19157,322,0.40699815837937386,0.42418426103646834,0.40699815837937386,0.9845813845916637,0.4154135338345865,,
"Overall",,,,,,,,,,0.67775,0.6497224536866574
