"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
"metal",686,177,18897,240,0.7408207343412527,0.7949015063731171,0.7408207343412527,0.9907203523120478,0.76690888764673,,
"rock",1692,710,17101,497,0.7729556875285518,0.704412989175687,0.7729556875285518,0.9601369939924765,0.7370943149640601,,
"k-pop",162,180,18908,750,0.17763157894736842,0.47368421052631576,0.17763157894736842,0.9905699916177704,0.25837320574162675,,
"latin",251,286,18968,495,0.33646112600536193,0.46741154562383613,0.33646112600536193,0.9851459437000104,0.3912704598597038,,
"electronic",1243,260,18290,207,0.8572413793103448,0.8270126413838988,0.8572413793103448,0.9859838274932614,0.8418557399254993,,
"soul",89,188,19257,466,0.16036036036036036,0.3212996389891697,0.16036036036036036,0.990331704808434,0.21394230769230768,,
"classical",833,19,19080,68,0.9245283018867925,0.9776995305164319,0.9245283018867925,0.9990051835174616,0.9503707929264118,,
"jazz",890,11,19063,36,0.9611231101511879,0.9877913429522752,0.9611231101511879,0.9994232987312572,0.9742747673782157,,
"country",751,623,18290,336,0.6908923643054278,0.5465793304221251,0.6908923643054278,0.9670596943901021,0.6103210077204387,,
"folk",666,117,19156,61,0.9160935350756534,0.8505747126436781,0.9160935350756534,0.9939293311887096,0.8821192052980132,,
"pop",1876,1850,15454,820,0.6958456973293768,0.5034889962426194,0.6958456973293768,0.893088303282478,0.5842416692619122,,
"punk",216,95,19530,159,0.576,0.6945337620578779,0.576,0.9951592356687898,0.629737609329446,,
"r&b",574,666,18065,695,0.4523246650906225,0.4629032258064516,0.4523246650906225,0.964443969889488,0.4575528098844161,,
"gospel",72,98,19540,290,0.19889502762430938,0.4235294117647059,0.19889502762430938,0.995009675119666,0.2706766917293233,,
"hip-hop",2225,146,17496,133,0.943596268023749,0.9384226064951497,0.943596268023749,0.9917242942976987,0.9410023260731657,,
"ambient",514,46,19409,31,0.9431192660550459,0.9178571428571428,0.9431192660550459,0.9976355692624004,0.930316742081448,,
"blues",149,141,19517,193,0.43567251461988304,0.5137931034482759,0.43567251461988304,0.9928273476447248,0.47151898734177217,,
"drum-and-bass",305,46,19581,68,0.8176943699731903,0.8689458689458689,0.8176943699731903,0.9976562898048607,0.8425414364640883,,
"indie",319,281,19001,399,0.44428969359331477,0.5316666666666666,0.44428969359331477,0.985426822943678,0.4840667678300455,,
"reggae",240,307,19150,303,0.4419889502762431,0.43875685557586835,0.4419889502762431,0.9842216168988025,0.44036697247706424,,
"Overall",,,,,,,,,,0.68765,0.6610248337075713
