row_index,column,error_type,detail
13,instrumentalness,missing_value,
15,speechiness,missing_value,
23,valence,missing_value,
27,valence,missing_value,
27,tempo,outlier_high,376.2231
32,instrumentalness,missing_value,
33,danceability,missing_value,
40,valence,missing_value,
42,energy,outlier_low,-0.2488
43,speechiness,missing_value,
43,instrumentalness,missing_value,
45,loudness,outlier_high,9.3574
46,instrumentalness,missing_value,
49,tempo,missing_value,
51,acousticness,missing_value,
53,acousticness,missing_value,
55,instrumentalness,missing_value,
62,danceability,outlier_low,-0.2358
66,energy,missing_value,
69,tempo,missing_value,
69,energy,missing_value,
77,valence,missing_value,
83,speechiness,missing_value,
86,valence,missing_value,
87,instrumentalness,missing_value,
96,energy,missing_value,
97,liveness,missing_value,
102,danceability,missing_value,
107,valence,missing_value,
108,danceability,missing_value,
109,instrumentalness,missing_value,
111,danceability,missing_value,
114,danceability,missing_value,
118,danceability,missing_value,
123,energy,missing_value,
124,valence,missing_value,
127,valence,missing_value,
129,loudness,missing_value,
130,loudness,outlier_high,3.1853
130,valence,missing_value,
131,liveness,missing_value,
133,danceability,missing_value,
138,danceability,outlier_low,-0.2327
138,speechiness,missing_value,
141,valence,missing_value,
143,liveness,missing_value,
150,acousticness,missing_value,
157,liveness,missing_value,
157,energy,missing_value,
163,loudness,outlier_high,1.8551
177,loudness,outlier_high,6.2164
178,speechiness,missing_value,
184,valence,outlier_low,-0.0909
185,loudness,missing_value,
190,liveness,missing_value,
195,tempo,missing_value,
199,loudness,missing_value,
202,loudness,outlier_high,1.4980
204,danceability,missing_value,
206,tempo,outlier_low,11.3898
208,liveness,missing_value,
209,tempo,missing_value,
209,energy,missing_value,
212,loudness,outlier_low,-86.0452
221,speechiness,missing_value,
228,instrumentalness,missing_value,
234,energy,missing_value,
234,valence,missing_value,
237,energy,missing_value,
248,acousticness,missing_value,
249,energy,outlier_low,-0.1482
250,tempo,missing_value,
255,liveness,missing_value,
256,loudness,missing_value,
257,tempo,outlier_low,14.8193
260,acousticness,missing_value,
266,loudness,missing_value,
266,liveness,missing_value,
281,liveness,missing_value,
281,loudness,missing_value,
283,valence,missing_value,
286,liveness,missing_value,
288,valence,missing_value,
291,energy,outlier_low,-0.2842
293,instrumentalness,missing_value,
293,energy,missing_value,
295,liveness,missing_value,
296,danceability,missing_value,
299,energy,missing_value,
302,valence,missing_value,
304,danceability,missing_value,
307,acousticness,missing_value,
310,acousticness,missing_value,
313,acousticness,missing_value,
323,loudness,missing_value,
326,instrumentalness,missing_value,
326,valence,missing_value,
328,loudness,outlier_high,3.5339
346,tempo,missing_value,
348,tempo,missing_value,
350,valence,missing_value,
352,tempo,outlier_high,306.5482
352,liveness,missing_value,
353,loudness,missing_value,
357,liveness,missing_value,
361,instrumentalness,missing_value,
363,tempo,missing_value,
365,valence,missing_value,
367,speechiness,missing_value,
370,valence,missing_value,
372,danceability,missing_value,
385,tempo,missing_value,
386,instrumentalness,missing_value,
393,speechiness,missing_value,
394,loudness,outlier_low,-71.2534
396,acousticness,missing_value,
399,danceability,missing_value,
400,danceability,missing_value,
406,valence,outlier_high,1.3769
406,energy,outlier_high,1.3815
408,loudness,outlier_low,-81.9211
410,tempo,missing_value,
417,instrumentalness,missing_value,
417,valence,missing_value,
423,liveness,missing_value,
426,valence,outlier_low,-0.1061
433,danceability,missing_value,
434,tempo,missing_value,
437,valence,missing_value,
440,tempo,missing_value,
440,loudness,outlier_high,8.3160
444,acousticness,missing_value,
455,instrumentalness,missing_value,
455,liveness,missing_value,
460,energy,missing_value,
461,instrumentalness,missing_value,
466,speechiness,missing_value,
473,valence,missing_value,
476,tempo,outlier_low,5.0258
485,tempo,outlier_low,9.2393
487,energy,outlier_low,-0.0185
490,danceability,missing_value,
493,liveness,missing_value,
498,tempo,missing_value,
500,valence,outlier_high,1.3421
508,tempo,outlier_low,13.5182
510,energy,outlier_high,1.4069
511,loudness,outlier_high,9.6752
513,speechiness,missing_value,
514,acousticness,missing_value,
516,speechiness,missing_value,
517,loudness,missing_value,
519,liveness,missing_value,
520,loudness,missing_value,
525,energy,missing_value,
530,instrumentalness,missing_value,
533,loudness,missing_value,
534,speechiness,missing_value,
538,danceability,missing_value,
538,acousticness,missing_value,
541,valence,missing_value,
542,energy,missing_value,
543,energy,missing_value,
547,acousticness,missing_value,
548,tempo,missing_value,
552,valence,missing_value,
553,tempo,missing_value,
561,tempo,missing_value,
561,loudness,missing_value,
562,instrumentalness,missing_value,
569,tempo,outlier_low,8.3812
569,valence,missing_value,
580,acousticness,missing_value,
590,valence,missing_value,
593,valence,missing_value,
606,valence,outlier_low,-0.0744
609,acousticness,missing_value,
613,valence,missing_value,
614,speechiness,missing_value,
615,speechiness,missing_value,
622,valence,missing_value,
624,valence,missing_value,
626,speechiness,missing_value,
629,tempo,missing_value,
633,danceability,outlier_low,-0.2824
638,liveness,missing_value,
646,tempo,missing_value,
650,acousticness,missing_value,
655,instrumentalness,missing_value,
660,tempo,missing_value,
660,speechiness,missing_value,
661,instrumentalness,missing_value,
664,tempo,outlier_high,314.8257
666,acousticness,missing_value,
667,acousticness,missing_value,
668,instrumentalness,missing_value,
669,danceability,missing_value,
675,speechiness,missing_value,
676,energy,outlier_high,1.4868
685,loudness,missing_value,
700,speechiness,missing_value,
701,instrumentalness,missing_value,
705,loudness,missing_value,
707,valence,missing_value,
708,energy,missing_value,
711,valence,missing_value,
712,valence,missing_value,
714,tempo,missing_value,
717,danceability,missing_value,
717,energy,missing_value,
728,liveness,missing_value,
728,danceability,missing_value,
740,danceability,missing_value,
740,valence,missing_value,
743,energy,outlier_high,1.3917
749,energy,missing_value,
758,loudness,outlier_low,-84.3536
759,loudness,missing_value,
763,acousticness,missing_value,
772,energy,missing_value,
774,instrumentalness,missing_value,
777,loudness,missing_value,
779,instrumentalness,missing_value,
779,valence,missing_value,
780,valence,missing_value,
