row_index,column,error_type,detail
6,danceability,missing_value,
13,instrumentalness,missing_value,
13,liveness,missing_value,
19,valence,missing_value,
20,loudness,missing_value,
21,loudness,missing_value,
22,speechiness,missing_value,
23,energy,missing_value,
23,acousticness,missing_value,
24,liveness,missing_value,
26,acousticness,missing_value,
31,tempo,missing_value,
40,valence,outlier_high,1.3557
40,danceability,missing_value,
42,tempo,outlier_low,14.8539
46,liveness,missing_value,
47,tempo,missing_value,
53,valence,outlier_high,1.1877
59,valence,missing_value,
59,loudness,missing_value,
59,tempo,missing_value,
61,loudness,missing_value,
64,energy,outlier_low,-0.1363
74,speechiness,missing_value,
79,speechiness,missing_value,
80,acousticness,missing_value,
85,loudness,missing_value,
94,tempo,outlier_high,407.1338
99,acousticness,missing_value,
102,danceability,outlier_low,-0.1740
105,danceability,missing_value,
106,instrumentalness,missing_value,
110,tempo,missing_value,
133,energy,missing_value,
140,liveness,missing_value,
143,valence,missing_value,
143,acousticness,missing_value,
145,loudness,missing_value,
148,speechiness,missing_value,
150,liveness,missing_value,
153,instrumentalness,missing_value,
156,energy,missing_value,
158,tempo,missing_value,
161,instrumentalness,missing_value,
165,tempo,missing_value,
170,liveness,missing_value,
174,tempo,missing_value,
175,danceability,missing_value,
176,liveness,missing_value,
177,instrumentalness,missing_value,
180,valence,missing_value,
186,liveness,missing_value,
187,tempo,missing_value,
190,tempo,missing_value,
190,loudness,missing_value,
192,loudness,missing_value,
192,speechiness,missing_value,
195,danceability,outlier_low,-0.1582
202,tempo,missing_value,
206,valence,missing_value,
211,instrumentalness,missing_value,
213,energy,outlier_high,1.4980
214,valence,outlier_low,-0.1571
220,valence,missing_value,
221,speechiness,missing_value,
221,tempo,missing_value,
224,danceability,missing_value,
231,valence,missing_value,
231,danceability,outlier_high,1.3380
241,danceability,outlier_high,1.4127
243,tempo,missing_value,
243,danceability,outlier_low,-0.2437
247,liveness,missing_value,
248,tempo,missing_value,
252,danceability,missing_value,
257,acousticness,missing_value,
261,tempo,missing_value,
262,energy,missing_value,
264,loudness,outlier_high,6.8857
265,tempo,missing_value,
268,energy,missing_value,
268,loudness,missing_value,
270,acousticness,missing_value,
271,liveness,missing_value,
276,energy,missing_value,
277,energy,missing_value,
285,energy,missing_value,
286,liveness,missing_value,
290,liveness,missing_value,
291,danceability,missing_value,
295,speechiness,missing_value,
297,liveness,missing_value,
300,energy,outlier_low,-0.2453
301,instrumentalness,missing_value,
301,liveness,missing_value,
302,energy,missing_value,
302,speechiness,missing_value,
307,tempo,missing_value,
310,liveness,missing_value,
312,valence,outlier_low,-0.2206
312,danceability,missing_value,
320,valence,missing_value,
321,speechiness,missing_value,
324,instrumentalness,missing_value,
327,speechiness,missing_value,
327,energy,outlier_low,-0.0697
330,loudness,missing_value,
330,acousticness,missing_value,
331,loudness,outlier_high,3.6281
331,acousticness,missing_value,
332,energy,outlier_high,1.1654
337,danceability,missing_value,
339,liveness,missing_value,
349,speechiness,missing_value,
354,energy,missing_value,
356,energy,missing_value,
358,acousticness,missing_value,
359,energy,outlier_low,-0.1074
364,danceability,missing_value,
365,tempo,missing_value,
