"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
"rock",1704,485,16991,820,0.6751188589540412,0.7784376427592508,0.6751188589540412,0.9722476539253834,0.7231063017186505,,
"latin",210,536,18978,276,0.43209876543209874,0.28150134048257375,0.43209876543209874,0.9725325407399815,0.3409090909090909,,
"country",742,345,18217,696,0.5159944367176634,0.6826126954921803,0.5159944367176634,0.9814136407714686,0.5877227722772277,,
"gospel",65,297,19561,77,0.45774647887323944,0.17955801104972377,0.45774647887323944,0.9850438110585155,0.25793650793650796,,
"hip-hop",2219,139,17526,116,0.9503211991434689,0.9410517387616624,0.9503211991434689,0.9921313331446363,0.9456637545280203,,
"blues",152,190,19539,119,0.5608856088560885,0.4444444444444444,0.5608856088560885,0.9903695068173755,0.4959216965742251,,
"classical",868,33,19072,27,0.9698324022346368,0.9633740288568258,0.9698324022346368,0.9982727034807642,0.9665924276169264,,
"ambient",515,30,19430,25,0.9537037037037037,0.944954128440367,0.9537037037037037,0.9984583761562179,0.9493087557603688,,
"punk",196,179,19549,76,0.7205882352941176,0.5226666666666666,0.7205882352941176,0.9909266017842661,0.6058732612055642,,
"k-pop",164,748,18875,213,0.4350132625994695,0.17982456140350878,0.4350132625994695,0.9618814656270702,0.25446082234290146,,
"folk",669,58,19165,108,0.861003861003861,0.9202200825309491,0.861003861003861,0.9969827810435415,0.889627659574468,,
"metal",673,253,18870,204,0.7673888255416191,0.7267818574514039,0.7673888255416191,0.9867698582858339,0.7465335551858014,,
"pop",1873,823,15386,1918,0.49406489053020314,0.69473293768546,0.49406489053020314,0.9492257387870936,0.577462617542778,,
"reggae",192,351,19260,197,0.493573264781491,0.35359116022099446,0.493573264781491,0.9821018815970629,0.41201716738197425,,
"electronic",1255,195,18261,289,0.8128238341968912,0.8655172413793103,0.8128238341968912,0.9894343302990898,0.8383433533734136,,
"soul",536,733,18080,651,0.45155855096882896,0.4223798266351458,0.45155855096882896,0.9610375803965343,0.4364820846905537,,
"r&b",112,443,19161,284,0.2828282828282828,0.2018018018018018,0.2828282828282828,0.9774025709038971,0.2355415352260778,,
"jazz",893,33,19064,10,0.9889258028792912,0.9643628509719222,0.9889258028792912,0.9982719798921297,0.9764898851831602,,
"drum-and-bass",309,64,19598,29,0.9142011834319527,0.8284182305630027,0.9142011834319527,0.9967449903366901,0.8691983122362869,,
"indie",291,427,19055,227,0.5617760617760618,0.4052924791086351,0.5617760617760618,0.9780823324094036,0.47087378640776695,,
"Overall",,,,,,,,,,0.6819,0.6544691375602898
