"TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
674,227,18847,252,0.7278617710583153,0.7480577136514983,0.7278617710583153,0.9880989829086715,0.7378215654077722,,
1575,860,16951,614,0.719506624029237,0.6468172484599589,0.719506624029237,0.9517152321599012,0.6812283737024221,,
36,52,19036,876,0.039473684210526314,0.4090909090909091,0.039473684210526314,0.9972757753562448,0.072,,
169,202,19052,577,0.22654155495978553,0.4555256064690027,0.22654155495978553,0.9895086735223849,0.3025962399283796,,
1260,477,18073,190,0.8689655172413793,0.7253886010362695,0.8689655172413793,0.9742857142857143,0.7907122685911516,,
34,61,19384,521,0.06126126126126126,0.35789473684210527,0.06126126126126126,0.9968629467729494,0.10461538461538462,,
827,26,19073,74,0.9178690344062154,0.9695193434935522,0.9178690344062154,0.9986386721817896,0.942987457240593,,
886,18,19056,40,0.9568034557235421,0.9800884955752213,0.9568034557235421,0.9990563070147845,0.9683060109289616,,
780,747,18166,307,0.7175712971481141,0.5108055009823183,0.7175712971481141,0.9605033574789827,0.5967865340474369,,
656,129,19144,71,0.9023383768913342,0.8356687898089172,0.9023383768913342,0.9933066984901157,0.8677248677248678,,
1980,2297,15007,716,0.7344213649851632,0.46294131400514377,0.7344213649851632,0.8672561257512714,0.5679047755628854,,
138,80,19545,237,0.368,0.6330275229357798,0.368,0.9959235668789809,0.4654300168634064,,
491,684,18047,778,0.38691883372734437,0.4178723404255319,0.38691883372734437,0.9634829961027174,0.4018003273322422,,
42,69,19569,320,0.11602209944751381,0.3783783783783784,0.11602209944751381,0.9964864039107852,0.17758985200845664,,
2230,179,17463,128,0.9457167090754877,0.9256953092569531,0.9457167090754877,0.9898537580773155,0.9355989091671911,,
502,54,19401,43,0.9211009174311927,0.9028776978417267,0.9211009174311927,0.997224363916731,0.9118982742960945,,
113,103,19555,229,0.3304093567251462,0.5231481481481481,0.3304093567251462,0.9947604028894089,0.4050179211469534,,
272,26,19601,101,0.7292225201072386,0.912751677852349,0.7292225201072386,0.99867529423753,0.8107302533532043,,
299,300,18982,419,0.41643454038997213,0.4991652754590985,0.41643454038997213,0.9844414479825744,0.4540622627182992,,
195,250,19207,348,0.35911602209944754,0.43820224719101125,0.35911602209944754,0.9871511538263864,0.39473684210526316,,
,,,,,,,,,0.65795,0.6272816911403782
